,Name,N,Model Index,p,Tau,Lambda,MSE,NRMSE
242,Vanilla,200,0,1,5,0.2,0.052199676632881165,22.68021631100688
243,Vanilla,200,0,1,10,0.2,0.04760253056883812,22.411021300521355
244,Vanilla,200,0,2,1,0.2,0.00640321196988225,22.613050814489227
245,Vanilla,200,0,2,2,0.2,0.0078023336827754974,22.435296505659892
246,Vanilla,200,0,2,5,0.2,0.00754238897934556,22.532879351194083
247,Vanilla,200,0,2,10,0.2,0.006130640860646963,22.497565921941632
248,Vanilla,200,0,5,1,0.2,0.00016752256487961859,22.45957672508371
249,Vanilla,200,0,5,2,0.2,9.767572919372469e-05,22.602851944292894
250,Vanilla,200,0,5,5,0.2,4.583263216773048e-05,22.33420701476808
251,Vanilla,200,0,5,10,0.2,5.647791476803832e-05,22.61708900021729
252,Vanilla,200,0,10,1,0.2,5.981490289741487e-07,22.583625519423634
253,Vanilla,200,0,10,2,0.2,7.244462381095218e-07,22.505401641102605
254,Vanilla,200,0,10,5,0.2,1.7113458739004273e-07,22.127633665416177
255,Vanilla,200,0,10,10,0.2,1.1988358039616287e-07,22.58300660895267
256,Gaussian,200,1,1,1,0.2,0.04115105792880058,22.308519537282443
257,Gaussian,200,1,1,2,0.2,0.0530330054461956,22.881310764993746
258,Gaussian,200,1,1,5,0.2,0.04223666340112686,22.924653408213587
259,Gaussian,200,1,1,10,0.2,0.04273390397429466,22.404379198616297
260,Gaussian,200,1,2,1,0.2,0.005622386001050472,22.525183253754772
261,Gaussian,200,1,2,2,0.2,0.007673303596675396,22.375349159286877
262,Gaussian,200,1,2,5,0.2,0.006450229790061712,22.794766491335928
263,Gaussian,200,1,2,10,0.2,0.0075213233940303326,22.593729064003092
264,Gaussian,200,1,5,1,0.2,0.00012026522745145485,22.386484619151698
265,Gaussian,200,1,5,2,0.2,0.00016685447189956903,22.351182931065836
266,Gaussian,200,1,5,5,0.2,6.0621703596552834e-05,22.740963660818252
267,Gaussian,200,1,5,10,0.1,7.852235285099596e-05,22.533043905050935
268,Gaussian,200,1,10,1,0.2,1.275489864838164e-07,22.82730149096417
269,Gaussian,200,1,10,2,0.2,3.073381265039643e-07,22.59066544578099
270,Gaussian,200,1,10,5,0.2,2.3352855293978791e-07,23.330699372353266
271,Gaussian,200,1,10,10,0.2,1.4039980555935472e-07,22.91773272260001
272,Hard Bimodal,200,2,1,1,0.2,0.05017092078924179,22.306275939498786
273,Hard Bimodal,200,2,1,2,0.0,2.9555090463873057e-07,0.05697947505140161
274,Hard Bimodal,200,2,1,5,0.0,0.00036732148146256804,1.9287878866176835
275,Hard Bimodal,200,2,1,10,0.0,0.05139649286866188,22.266338393176664
276,Hard Bimodal,200,2,2,1,0.2,0.006850067060440779,22.544773566961076
277,Hard Bimodal,200,2,2,2,0.0,6.984566425671801e-05,2.1067421765415886
278,Hard Bimodal,200,2,2,5,0.0,0.000503838004078716,6.483538396709127
279,Hard Bimodal,200,2,2,10,0.0,0.005616317968815565,22.196477744623767
280,Hard Bimodal,200,2,5,1,0.2,6.530455721076578e-05,22.39369895049826
281,Hard Bimodal,200,2,5,2,0.0,1.80953175004106e-05,8.114831283235105
282,Hard Bimodal,200,2,5,5,0.0,3.3552045351825655e-05,15.30505439197804
283,Hard Bimodal,200,2,5,10,0.2,8.152138616424054e-05,22.33763233011132
284,Hard Bimodal,200,2,10,1,0.2,1.5661629504393204e-07,22.488523820235095
285,Hard Bimodal,200,2,10,2,0.0,7.014386937953532e-08,14.754863389823159
286,Hard Bimodal,200,2,10,5,0.0,2.3455135078620515e-07,17.981938943668677
287,Hard Bimodal,200,2,10,10,0.2,3.5066190662291774e-07,22.489261353381597
288,Soft Trimodal,200,3,1,1,0.2,0.04645117372274399,22.59088834207244
289,Soft Trimodal,200,3,1,2,0.0,2.869549825845752e-05,0.5322115554793663
290,Soft Trimodal,200,3,1,5,0.0,0.0005212269607000053,2.3852583542531454
291,Soft Trimodal,200,3,1,10,0.0,0.018355436623096466,14.468864423987343
292,Soft Trimodal,200,3,2,1,0.2,0.0057868375442922115,22.47199591905306
293,Soft Trimodal,200,3,2,2,0.0,0.000350335641996935,5.1435568197320904
