,Name,N,Model Index,DeltaPhi,MC,MLLE,Neff,Rho,KL
77,Bimodal,50,2,0.06321409944975183,7.558367729187012,-0.9309468865394592,1.213832452785212,0.8198612928390503,0.01887197606265545
78,Soft Trimodal,50,3,0.060409954723904764,9.917487144470215,-0.8858938813209534,1.4948822861539952,0.8198632001876831,0.026184288784861565
79,Edgy trimodal,50,4,0.24750823842240244,7.829128265380859,-1.1053138971328735,1.440766048544306,0.8198599815368652,0.012079443782567978
80,Vanilla,100,0,0.04398486073691506,16.443326950073242,-0.3132638931274414,2.457154785113525,0.7499992251396179,0.0
81,Gaussian,100,1,0.045089552942825024,16.23834991455078,-0.15173828601837158,3.075481957299416,0.8198605179786682,0.05162586644291878
82,Bimodal,100,2,0.08232405741717701,9.110692024230957,-0.8076478242874146,1.3089073906320337,0.8198598623275757,0.01803409494459629
83,Soft Trimodal,100,3,0.19409233513644736,11.726638793945312,-0.8994362950325012,1.9252662174132094,0.819864809513092,0.02762593701481819
84,Edgy trimodal,100,4,0.07080505024101888,9.755491256713867,-0.1231146901845932,1.5466105800415273,0.8198596835136414,0.012001626193523407
85,Vanilla,150,0,0.05347611571552065,17.6511173248291,-0.3234742283821106,3.117862854164753,0.7500001192092896,0.0
86,Gaussian,150,1,0.04520926613348161,18.241241455078125,-0.12425408512353897,3.5160665075064275,0.8198599815368652,0.051917195320129395
87,Bimodal,150,2,0.27058030373973113,9.71839427947998,-0.9068689346313477,1.3345901883744984,0.8198609352111816,0.01832556538283825
88,Soft Trimodal,150,3,0.05069547641953251,12.864625930786133,-0.17795340716838837,2.416969110183914,0.8198636174201965,0.02947169914841652
89,Edgy trimodal,150,4,0.04637718834654076,9.903055191040039,-1.2711807489395142,1.5231715822948977,0.8198606967926025,0.011167706921696663
90,Vanilla,200,0,0.050581948115098134,19.32245445251465,-0.2997702360153198,2.705108152022639,0.7499990463256836,0.0
91,Gaussian,200,1,0.04470263625084672,18.6607723236084,-0.187948539853096,3.307676021504988,0.8198615908622742,0.051470980048179626
92,Bimodal,200,2,0.2411071107345321,9.824736595153809,-2.104363441467285,1.263659337539604,0.8198586702346802,0.01814771071076393
93,Soft Trimodal,200,3,0.09676506654174782,12.758878707885742,-0.733077347278595,1.9216876628768005,0.8198606371879578,0.02784445323050022
94,Edgy trimodal,200,4,0.22059451820789827,10.883151054382324,-0.12064354121685028,1.3537193650638888,0.8198602199554443,0.011578531004488468
95,Vanilla,250,0,0.06315174337287152,18.98063087463379,-0.2986994981765747,2.7069155460535383,0.750001072883606,0.0
96,Gaussian,250,1,0.07901653070084422,20.404272079467773,-0.14236311614513397,3.1648692641337526,0.8198606371879578,0.05060190707445145
97,Bimodal,250,2,0.07562915519822994,10.518001556396484,-0.6920800805091858,1.2728356981022917,0.8198618292808533,0.01845652237534523
98,Soft Trimodal,250,3,0.17545207143609803,13.151993751525879,-0.6894950866699219,2.3589525913967857,0.819862425327301,0.031185144558548927
99,Edgy trimodal,250,4,0.051418664119213135,10.773073196411133,-0.9932473301887512,1.4951226169247913,0.8198602795600891,0.011422607116401196
100,Vanilla,50,0,0.04373528519674655,15.054549217224121,-0.35486966371536255,2.6285477647665894,0.7499994039535522,0.0
101,Gaussian,50,1,0.056067971979155126,14.174447059631348,-0.2036968618631363,3.4666641652600916,0.8198604583740234,0.050508156418800354
102,Bimodal,50,2,0.05931962092286829,8.082903861999512,-0.8060599565505981,1.2489542153133673,0.8198612332344055,0.018448611721396446
103,Soft Trimodal,50,3,0.09051816028259152,10.195964813232422,-0.17351128160953522,1.9554562019196693,0.8198606967926025,0.03043133020401001
104,Edgy trimodal,50,4,0.05206559774470684,8.540081024169922,-1.2612252235412598,1.400700426163718,0.8198621273040771,0.01229076087474823
105,Vanilla,100,0,0.06988647448412419,16.06386375427246,-0.34204158186912537,2.7144182923048636,0.7500017285346985,0.0
106,Gaussian,100,1,0.04429204840196345,17.20946502685547,-0.203534796833992,3.4391431171861293,0.8198638558387756,0.04949265345931053
107,Bimodal,100,2,0.3764896633610432,8.932425498962402,-1.1044764518737793,1.3075663496172831,0.8198609948158264,0.019030574709177017
108,Soft Trimodal,100,3,0.06369631597007146,11.831472396850586,-0.6519959568977356,1.7268345871315167,0.8198609352111816,0.027131030336022377
109,Edgy trimodal,100,4,0.05549410751011919,9.37701416015625,-1.1033711433410645,1.3021246424094515,0.8198606967926025,0.01082025095820427
110,Vanilla,150,0,0.04673814883326544,17.139705657958984,-0.3732759356498718,2.681694716741189,0.7499996423721313,0.0
111,Gaussian,150,1,0.0455643882082525,18.389331817626953,-0.18591099977493286,3.859125488396181,0.819858968257904,0.054061491042375565
112,Bimodal,150,2,0.0535428535720552,9.83938217163086,-0.842486560344696,1.2786680484450241,0.8198614120483398,0.01879151351749897
113,Soft Trimodal,150,3,0.12437219545402332,12.692122459411621,-0.5662399530410767,1.964002225622111,0.8198596239089966,0.028150631114840508
114,Edgy trimodal,150,4,0.06629441377036276,10.520142555236816,-1.1452760696411133,1.422278353724904,0.819862425327301,0.011031825095415115
115,Vanilla,200,0,0.04399003322359388,18.022266387939453,-0.3402809798717499,3.112982602636207,0.750000536441803,0.0
116,Gaussian,200,1,0.047858186901045874,19.750774383544922,-0.15497949719429016,3.3152741958694047,0.8198606371879578,0.05050020292401314
117,Bimodal,200,2,0.04679131572174858,9.887043952941895,-0.6544709205627441,1.2337429624330456,0.8198615908622742,0.018315643072128296
118,Soft Trimodal,200,3,0.047496839868138234,13.388590812683105,-0.15174315869808197,2.4183132660251196,0.8198611736297607,0.030196256935596466
119,Edgy trimodal,200,4,0.047069331714004715,10.413481712341309,-1.1801832914352417,1.4144217131022658,0.8198587894439697,0.01158397551625967
120,Vanilla,250,0,0.043655588535356865,19.229246139526367,-0.33290034532546997,2.623060619762613,0.7499977350234985,0.0
121,Gaussian,250,1,0.04614722938138883,21.12318992614746,-0.19356520473957062,4.020329150886655,0.819861114025116,0.0552736297249794
122,Bimodal,250,2,0.05644754854106166,10.460205078125,-0.9492855668067932,1.3049673788602163,0.8198615312576294,0.018488312140107155
123,Soft Trimodal,250,3,0.07343891617940757,14.050289154052734,-0.8023106455802917,2.046556339941634,0.8198637366294861,0.03002289868891239
124,Edgy trimodal,250,4,0.04739634343438965,10.797072410583496,-1.434908390045166,1.4891626706269077,0.8198609352111816,0.0112242316827178
