,Name,N,Model Index,Log Nu,Tau,Lambda,MSE,NRMSE
2305,Vanilla,200,0,-1.0,2,0.0,8.11808320122509e-07,0.11720245981097592
2306,Vanilla,200,0,-1.0,5,0.0,3.6647904835263034e-06,0.2591599308121894
2307,Vanilla,200,0,-1.0,10,0.0,0.00013645991566590965,1.5476091742637283
2308,Vanilla,200,0,-0.5,1,0.0,1.7666710760977367e-08,0.011083113010117988
2309,Vanilla,200,0,-0.5,2,0.05,1.7516526895633433e-06,0.11115962796096264
2310,Vanilla,200,0,-0.5,5,0.0,1.2755564966937527e-05,0.2826503489032794
2311,Vanilla,200,0,-0.5,10,0.0,0.0004064999520778656,1.6321970678724986
2312,Vanilla,200,0,0.0,1,0.0,4.7236690647878277e-07,0.03559801907847886
2313,Vanilla,200,0,0.0,2,0.0,2.8774768452421995e-06,0.0879826514277308
2314,Vanilla,200,0,0.0,5,0.0,2.1727275452576578e-05,0.24472187278254492
2315,Vanilla,200,0,0.0,10,0.0,0.0008169574430212379,1.4956622983153005
2316,Vanilla,200,0,0.5,1,0.0,1.2722440260404255e-05,0.12392833021712416
2317,Vanilla,200,0,0.5,2,0.0,4.330194497015327e-05,0.22868672510689822
2318,Vanilla,200,0,0.5,5,0.0,0.00037828495260328054,0.691543587013602
2319,Vanilla,200,0,0.5,10,0.0,0.0030443293508142233,1.967606166801087
2320,Gaussian,200,1,-2.0,1,0.0,7.79232749437142e-08,0.0982430471303048
2321,Gaussian,200,1,-2.0,2,0.0,3.4783835189955425e-07,0.2097622041760766
2322,Gaussian,200,1,-2.0,5,0.0,3.807510211117915e-06,0.6885419882130606
2323,Gaussian,200,1,-2.0,10,0.0,5.280504046822898e-05,2.5232870807045304
2324,Gaussian,200,1,-1.0,1,0.0,3.37454537202575e-07,0.07886600447679552
2325,Gaussian,200,1,-1.0,2,0.0,1.8725921790974098e-06,0.1807248399932993
2326,Gaussian,200,1,-1.0,5,0.0,3.1699859391665086e-05,0.7250671174782202
2327,Gaussian,200,1,-1.0,10,0.0,0.0002596047706902027,2.138692944566591
2328,Gaussian,200,1,-0.5,1,0.0,6.070972631277982e-07,0.06414312894443008
2329,Gaussian,200,1,-0.5,2,0.0,5.6919479902717285e-06,0.19996789249844968
2330,Gaussian,200,1,-0.5,5,0.0,5.7073884818237275e-05,0.6430986145805392
2331,Gaussian,200,1,-0.5,10,0.0,0.0007173954509198666,2.132469736579912
2332,Gaussian,200,1,0.0,1,0.0,1.3276590834720992e-05,0.1960305081552157
2333,Gaussian,200,1,0.0,2,0.05,2.0706213035737164e-05,0.2276531801036407
2334,Gaussian,200,1,0.0,5,0.0,0.00015377806266769767,0.6341067136763151
2335,Gaussian,200,1,0.0,10,0.0,0.0019280717242509127,2.1942468412041243
2336,Gaussian,200,1,0.5,1,0.0,0.0004079837235622108,0.7042955826987091
2337,Gaussian,200,1,0.5,2,0.0,0.0002428324514767155,0.5568524944582826
2338,Gaussian,200,1,0.5,5,0.0,0.0010250811465084553,1.109241155152805
